domain_id,domain_name,meta_layer,entry_count,coverage_status
1,Health & Medical,Life Sciences & Health,1,seeded
2,Food Safety & Agriculture,Life Sciences & Health,1,seeded
3,Animal Health & Veterinary,Life Sciences & Health,1,seeded
4,Plant Health & Phytosanitary,Life Sciences & Health,1,seeded
5,Occupational Health & Safety,Life Sciences & Health,1,seeded
6,Pharmaceuticals & Medicines,Life Sciences & Health,1,seeded
7,Measurement & Metrology,Physical Sciences & Engineering,1,seeded
8,Manufacturing & Industry,Physical Sciences & Engineering,1,seeded
9,Electrical & Electronics,Physical Sciences & Engineering,1,seeded
10,Construction & Built Environment,Physical Sciences & Engineering,1,seeded
11,Chemical & Process Industries,Physical Sciences & Engineering,1,seeded
12,Materials Science & Testing,Physical Sciences & Engineering,1,seeded
13,Aerospace & Aviation,Physical Sciences & Engineering,1,seeded
14,Space & Satellite,Physical Sciences & Engineering,1,seeded
15,Human Rights,"Society, Governance & Law",1,seeded
16,Labour & Employment,"Society, Governance & Law",252,seeded
17,Humanitarian & Emergency Response,"Society, Governance & Law",1,seeded
18,Legal & Commercial Law,"Society, Governance & Law",1,seeded
19,"Governance, Transparency & Anti-Corruption","Society, Governance & Law",1,seeded
20,Education & Research,"Society, Governance & Law",1,seeded
21,"Culture, Heritage & Arts","Society, Governance & Law",1,seeded
22,Sports & Recreation,"Society, Governance & Law",1,seeded
23,"Finance, Banking & Accounting",Economy & Trade,1,seeded
24,Trade & Customs,Economy & Trade,1,seeded
25,Supply Chain & Logistics,Economy & Trade,1,seeded
26,"Sustainability, ESG & Circular Economy",Economy & Trade,1,seeded
27,Taxation & Public Finance,Economy & Trade,1,seeded
28,Information & Communications Technology (ICT),Technology & Infrastructure,1,seeded
29,Cybersecurity & Data Privacy,Technology & Infrastructure,1,seeded
30,Artificial Intelligence & Emerging Technologies,Technology & Infrastructure,1,seeded
31,Energy & Utilities,Technology & Infrastructure,1,seeded
32,"Transport (Land, Sea, Air, Rail)",Technology & Infrastructure,1,seeded
33,"Water, Sanitation & Hygiene (WASH)",Technology & Infrastructure,1,seeded
34,Built Environment & Urban Systems,Technology & Infrastructure,1,seeded
35,Defence & Security (Declassified),Technology & Infrastructure,1,seeded
36,Environment & Climate,Environment & Natural Systems,1,seeded
37,Marine & Ocean,Environment & Natural Systems,1,seeded
38,Biodiversity & Conservation,Environment & Natural Systems,1,seeded
39,Disaster Risk & Humanitarian Preparedness,Environment & Natural Systems,1,seeded
40,Extractive Industries & Natural Resources,Environment & Natural Systems,1,seeded
