domain_id,domain_name,meta_layer,task_count,done,active,planned,blocked,highest_priority
1,Health & Medical,Life Sciences & Health,2,0,2,0,0,critical
2,Food Safety & Agriculture,Life Sciences & Health,1,0,1,0,0,critical
3,Animal Health & Veterinary,Life Sciences & Health,1,0,0,1,0,high
4,Plant Health & Phytosanitary,Life Sciences & Health,1,0,0,1,0,high
5,Occupational Health & Safety,Life Sciences & Health,1,0,0,1,0,high
6,Pharmaceuticals & Medicines,Life Sciences & Health,1,0,0,1,0,high
7,Measurement & Metrology,Physical Sciences & Engineering,1,0,0,1,0,medium
8,Manufacturing & Industry,Physical Sciences & Engineering,1,0,0,1,0,medium
9,Electrical & Electronics,Physical Sciences & Engineering,1,0,0,1,0,critical
10,Construction & Built Environment,Physical Sciences & Engineering,1,0,0,1,0,medium
11,Chemical & Process Industries,Physical Sciences & Engineering,1,0,0,1,0,medium
12,Materials Science & Testing,Physical Sciences & Engineering,1,0,0,1,0,medium
13,Aerospace & Aviation,Physical Sciences & Engineering,1,0,0,1,0,high
14,Space & Satellite,Physical Sciences & Engineering,1,0,0,1,0,high
15,Human Rights,"Society, Governance & Law",1,0,0,1,0,high
16,Labour & Employment,"Society, Governance & Law",1,1,0,0,0,critical
17,Humanitarian & Emergency Response,"Society, Governance & Law",2,0,2,0,0,critical
18,Legal & Commercial Law,"Society, Governance & Law",1,0,0,1,0,medium
19,"Governance, Transparency & Anti-Corruption","Society, Governance & Law",1,0,0,1,0,medium
20,Education & Research,"Society, Governance & Law",1,0,0,1,0,high
21,"Culture, Heritage & Arts","Society, Governance & Law",1,0,0,1,0,critical
22,Sports & Recreation,"Society, Governance & Law",1,0,0,1,0,critical
23,"Finance, Banking & Accounting",Economy & Trade,1,0,0,1,0,critical
24,Trade & Customs,Economy & Trade,1,0,0,1,0,critical
25,Supply Chain & Logistics,Economy & Trade,1,0,0,1,0,high
26,"Sustainability, ESG & Circular Economy",Economy & Trade,1,0,1,0,0,high
27,Taxation & Public Finance,Economy & Trade,1,0,0,1,0,medium
28,Information & Communications Technology (ICT),Technology & Infrastructure,4,1,3,0,0,critical
29,Cybersecurity & Data Privacy,Technology & Infrastructure,1,0,1,0,0,critical
30,Artificial Intelligence & Emerging Technologies,Technology & Infrastructure,1,0,0,1,0,critical
31,Energy & Utilities,Technology & Infrastructure,1,0,0,1,0,high
32,"Transport (Land, Sea, Air, Rail)",Technology & Infrastructure,1,0,0,1,0,high
33,"Water, Sanitation & Hygiene (WASH)",Technology & Infrastructure,1,0,1,0,0,critical
34,Built Environment & Urban Systems,Technology & Infrastructure,1,0,0,1,0,medium
35,Defence & Security (Declassified),Technology & Infrastructure,1,0,0,1,0,medium
36,Environment & Climate,Environment & Natural Systems,1,0,0,1,0,critical
37,Marine & Ocean,Environment & Natural Systems,1,0,0,1,0,high
38,Biodiversity & Conservation,Environment & Natural Systems,1,0,0,1,0,high
39,Disaster Risk & Humanitarian Preparedness,Environment & Natural Systems,1,0,0,1,0,high
40,Extractive Industries & Natural Resources,Environment & Natural Systems,1,0,0,1,0,medium
